Household_ID,Postcode,lat,lon,Age,Employment_Status,Household_Size,Num_Children,Disability,Annual_Income,Savings_Capital,Monthly_Rent,Tenure_Years,Property_Beds,EPC_Rating,Benefits_Eligible,Benefits_Claimed,Council_Tax_Arrears,Rent_Arrears
LEI-1000,EH6 4,55.96059953102167,-3.182853700782649,52,Unemployed,2,0,No,6971,924,501,6.3,1,D,Universal Credit,Universal Credit,No,252
LEI-1001,EH6 6,55.96055723966849,-3.1871722485132414,18,Unemployed,2,0,No,5606,3653,854,9.2,3,G,Universal Credit,Universal Credit,No,2460
LEI-1002,EH6 4,55.960498722620166,-3.18527508124938,35,Part-time,1,0,No,26009,1796,505,6.5,1,C,None,None,No,0
LEI-1003,EH6 6,55.96183331455702,-3.1837440850518384,58,Unemployed,5,3,No,4137,4655,1009,5.3,4,D,"Child Benefit, Child Tax Credit, Universal Credit","Child Benefit, Child Tax Credit",No,0
LEI-1004,EH6 6,55.958966435722225,-3.181307001432512,58,Full-time,4,0,No,29486,601,1037,2.8,4,D,None,None,No,0
LEI-1005,EH6 6,55.96336959083846,-3.183510315847013,29,Full-time,3,0,No,30318,247,841,7.4,3,D,None,None,No,0
LEI-1006,EH6 4,55.96147315749731,-3.1841247176703935,18,Full-time,5,4,No,37345,5874,955,2.1,4,D,Child Benefit,None,No,0
LEI-1007,EH6 6,55.9618941550987,-3.1814940650284016,34,Full-time,1,0,No,28051,41,561,4.3,1,C,None,None,No,0
LEI-1008,EH6 4,55.960095445461555,-3.185849368036254,36,Full-time,2,1,No,30833,2147,558,2.0,1,D,Child Benefit,Child Benefit,No,0
LEI-1009,EH6 6,55.9615398253293,-3.1851241403949326,66,Full-time,2,1,No,40592,8603,837,1.6,3,D,Child Benefit,Child Benefit,No,0
LEI-1010,EH6 6,55.96608091125162,-3.185728407034717,50,Unemployed,2,1,No,5169,4305,851,1.5,3,F,"Child Benefit, Universal Credit","Child Benefit, Universal Credit",Yes,2615
LEI-1011,EH6 6,55.96355291271724,-3.1819594483478912,26,Full-time,4,0,No,31565,12854,898,1.3,3,D,None,None,No,0
LEI-1012,EH6 6,55.962935281691024,-3.1807487876090597,48,Full-time,1,0,Yes,38627,1051,534,4.8,1,D,PIP,None,No,0
LEI-1013,EH6 4,55.96327416920749,-3.1857875805806053,28,Full-time,3,2,Yes,18671,1678,700,21.7,2,E,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1014,EH6 6,55.96430069029599,-3.1884305712922023,57,Full-time,1,0,No,34549,267,592,31.3,1,C,None,None,No,0
LEI-1015,EH6 4,55.96271315060334,-3.184772397166645,56,Part-time,5,2,No,16163,3984,1194,2.8,5,E,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1016,EH6 6,55.96216190744589,-3.1868268106741713,60,Full-time,3,0,No,31462,2110,824,3.3,3,D,None,None,No,0
LEI-1017,EH6 6,55.96268999130838,-3.1815379947095206,54,Unemployed,4,2,No,6574,6688,1012,2.4,4,G,"Child Benefit, Child Tax Credit, Universal Credit","Child Benefit, Child Tax Credit, Universal Credit",No,1663
LEI-1018,EH6 6,55.9579393748231,-3.18654591112778,55,Unemployed,3,1,No,7942,7214,679,0.9,2,B,"Child Benefit, Child Tax Credit, Universal Credit","Child Benefit, Child Tax Credit, Universal Credit",No,936
LEI-1019,EH6 6,55.96083211680198,-3.1867154572332703,69,Retired,1,0,Yes,14589,7523,500,6.5,1,F,"Universal Credit, PIP","Universal Credit, PIP",Yes,1321
LEI-1020,EH6 4,55.96187313162905,-3.186178648197381,34,Full-time,1,0,Yes,28629,103,538,8.6,1,C,PIP,PIP,No,0
LEI-1021,EH6 6,55.96197840822192,-3.185720133460091,46,Full-time,2,1,No,39754,17282,883,17.3,3,D,Child Benefit,Child Benefit,No,2430
LEI-1022,EH6 4,55.962662435456856,-3.1829988284818134,62,Part-time,3,2,Yes,20388,110,1036,0.6,4,C,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1023,EH6 4,55.96098902271817,-3.182811693465039,42,Full-time,1,0,No,46105,5147,595,7.9,1,C,None,None,No,0
LEI-1024,EH6 6,55.958631869762606,-3.1833107911899883,62,Full-time,1,0,No,38721,2962,698,2.1,2,B,None,None,No,0
LEI-1025,EH6 4,55.961450949504815,-3.184109012105022,53,Full-time,3,0,No,27917,16035,894,22.0,3,B,None,None,No,0
LEI-1026,EH6 4,55.961081814981604,-3.1819885608458716,54,Full-time,1,0,Yes,43221,10351,528,7.3,1,C,PIP,PIP,No,0
LEI-1027,EH6 6,55.958885072451245,-3.1835303515653885,42,Full-time,3,1,No,21826,2405,662,3.4,2,D,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1028,EH6 6,55.96424227645196,-3.182087410695608,52,Full-time,2,0,No,31800,9720,560,22.9,1,C,None,None,No,0
LEI-1029,EH6 4,55.9622703506493,-3.1843264694772233,52,Full-time,3,1,No,43931,14808,875,19.1,3,C,Child Benefit,Child Benefit,No,0
LEI-1030,EH6 6,55.961384552083494,-3.188465173866554,60,Full-time,1,0,No,14709,4608,591,2.2,1,C,Universal Credit,None,No,2197
LEI-1031,EH6 6,55.95823936937915,-3.1808616796378364,37,Full-time,6,0,No,33328,393,1100,0.2,5,B,None,None,No,0
LEI-1032,EH6 4,55.962218778618,-3.183492955129005,67,Retired,5,1,No,14562,1655,1000,1.4,4,C,"Child Benefit, Child Tax Credit",Child Tax Credit,No,1754
LEI-1033,EH6 6,55.96478274199384,-3.1844049078999324,38,Full-time,2,0,No,40239,3099,822,0.9,3,D,None,None,No,0
LEI-1034,EH6 4,55.96399924615767,-3.1828243648619274,48,Full-time,6,1,No,38224,14070,1196,2.6,5,E,Child Benefit,Child Benefit,No,0
LEI-1035,EH6 4,55.96236140111413,-3.1849840107856324,66,Full-time,4,0,No,12393,6020,1122,1.6,5,C,Universal Credit,None,Yes,3078
LEI-1036,EH6 6,55.96019510659934,-3.179378755521826,45,Part-time,6,4,Yes,22895,1959,1169,1.2,5,C,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1037,EH6 6,55.95930424421482,-3.18805546892386,27,Full-time,1,0,No,27588,15,598,12.2,1,C,None,None,No,0
LEI-1038,EH6 4,55.96329938244517,-3.184192983465923,56,Part-time,2,1,Yes,15479,7496,667,13.5,2,D,"Child Benefit, Universal Credit, PIP","Child Benefit, Universal Credit, PIP",No,0
LEI-1039,EH6 4,55.959890916232425,-3.183620235592593,25,Part-time,4,1,No,25349,9340,1199,4.1,5,D,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1040,EH6 6,55.96465886785566,-3.1784415907813193,22,Full-time,4,3,No,20777,5584,970,1.6,4,C,"Child Benefit, Child Tax Credit",Child Benefit,No,0
LEI-1041,EH6 4,55.96199040812057,-3.186130313991705,56,Full-time,1,0,No,15975,8804,567,1.2,1,D,Universal Credit,Universal Credit,No,0
LEI-1042,EH6 4,55.965393960662894,-3.1836021341919367,41,Full-time,2,0,Yes,32247,2462,809,0.9,3,G,PIP,PIP,No,2557
LEI-1043,EH6 4,55.95944058629068,-3.177230365183345,35,Full-time,4,2,No,34340,16716,1100,1.2,5,D,Child Benefit,Child Benefit,No,0
LEI-1044,EH6 6,55.962858606873745,-3.1829081246665076,56,Full-time,4,0,No,36742,2666,817,12.6,3,E,None,None,No,0
LEI-1045,EH6 4,55.959683827378164,-3.182276226899091,78,Retired,2,0,Yes,11804,4705,838,14.2,3,C,"PIP, Pension Credit","PIP, Pension Credit",No,1401
LEI-1046,EH6 6,55.96511164971868,-3.1844969907527756,57,Unemployed,4,0,No,8412,12562,962,2.5,4,C,Universal Credit,Universal Credit,No,910
LEI-1047,EH6 6,55.96804888427425,-3.1838532781860303,18,Full-time,4,2,No,27530,2545,987,1.2,4,C,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1048,EH6 6,55.958697671103316,-3.1838584074745837,84,Retired,3,2,No,8622,15061,721,9.4,2,D,"Child Benefit, Child Tax Credit, Pension Credit","Child Benefit, Child Tax Credit, Pension Credit",No,0
LEI-1049,EH6 4,55.9590171096844,-3.1787395156636276,47,Full-time,5,0,No,31901,798,1153,15.2,5,D,None,None,No,0
LEI-1050,EH6 4,55.96475910063892,-3.186789508875973,54,Full-time,4,1,No,28931,2556,842,8.0,3,B,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1051,EH6 6,55.96168669309074,-3.188357435135606,57,Full-time,2,0,Yes,29585,4343,548,22.3,1,D,PIP,PIP,No,0
